"REF_DATE","GEO","DGUID","Criminal Justice System","Key indicators","Sex of accused","Offences","Statistics","Fiscal quarters","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1276949525","1.2.1.1.4.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949630","1.2.1.1.15.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949630","1.2.1.1.15.2.3","-49.4","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949630","1.2.1.1.15.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1276949630","1.2.1.1.15.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949710","1.2.1.1.22.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949710","1.2.1.1.22.2.3","-23.1","","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949710","1.2.1.1.22.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1276949710","1.2.1.1.22.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949738","1.2.1.1.28.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949738","1.2.1.1.28.2.3","-80.0","E","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949738","1.2.1.1.28.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other Criminal Code","Year to date data","Q3","Percent","239","units","0","v1276949738","1.2.1.1.28.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949763","1.2.1.1.33.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949763","1.2.1.1.33.2.3","-80.0","E","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949763","1.2.1.1.33.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Criminal Code traffic","Year to date data","Q3","Percent","239","units","0","v1276949763","1.2.1.1.33.2.3","","..","","","1"
"2019/2020","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949785","1.2.1.1.36.2.3","","..","","","1"
"2020/2021","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949785","1.2.1.1.36.2.3","20.0","E","","","1"
"2021/2022","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949785","1.2.1.1.36.2.3","","..","","","1"
"2022/2023","Newfoundland and Labrador","2016A000210","Youth courts","Total number of cases","Total, sex of accused","Other federal statutes","Year to date data","Q3","Percent","239","units","0","v1276949785","1.2.1.1.36.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127858","2.1.1.1.1.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127858","2.1.1.1.1.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127858","2.1.1.1.1.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Total offences","Year to date data","Q3","Percent","239","units","0","v1284127858","2.1.1.1.1.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127948","2.1.1.1.4.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127948","2.1.1.1.4.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127948","2.1.1.1.4.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against the person","Year to date data","Q3","Percent","239","units","0","v1284127948","2.1.1.1.4.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128278","2.1.1.1.15.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128278","2.1.1.1.15.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128278","2.1.1.1.15.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Crimes against property","Year to date data","Q3","Percent","239","units","0","v1284128278","2.1.1.1.15.2.3","","..","","","1"
"2019/2020","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128488","2.1.1.1.22.2.3","","..","","","1"
"2020/2021","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128488","2.1.1.1.22.2.3","","..","","","1"
"2021/2022","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128488","2.1.1.1.22.2.3","","..","","","1"
"2022/2023","Prince Edward Island","2016A000211","Adult criminal courts","Total number of cases","Total, sex of accused","Administration of justice","Year to date data","Q3","Percent","239","units","0","v1284128488","2.1.1.1.22.2.3","","..","","","1"
