"REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Unfounded incidents","Number","223","units","0","v1000151135","4.1.15","2339","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","23.76","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","20.10","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","17.04","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","19.82","","","","2"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Percent unfounded","Percent","239","units","0","v1000151136","4.1.16","21.34","","","","2"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","2570","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","2897","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","2827","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","2626","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total cleared","Number","223","units","0","v44340955","4.1.4","2338","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44407686","4.1.5","1874","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44407686","4.1.5","2128","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44407686","4.1.5","2259","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44407686","4.1.5","2089","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared by charge","Number","223","units","0","v44407686","4.1.5","1741","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","696","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","769","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","568","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","537","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Cleared otherwise","Number","223","units","0","v44369122","4.1.6","597","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1803","","","","0"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2017","","","","0"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2152","","","","0"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","2031","","","","0"
"2021","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Total, persons charged","Number","223","units","0","v44326448","4.1.7","1686","","","","0"
"2017","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1369.97","","","","2"
"2018","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1501.08","","","","2"
"2019","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1556.26","","","","2"
"2020","Prince Edward Island [11]","2016A000211","Total, all violations [0]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate","257","units","0","v44375038","4.1.8","1428.13","","","","2"
